PERIOD_START_TIME,SITE,ENODEB,CELL,VoLTE Access Failure Rate (GCR),VoLTE Erlangs
4/11/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.009558,40.6025
4/11/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.10171,58.124722
4/11/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.007865,42.969722
4/11/2021,A3A0138B,LA3A0138B,DA3A0138B31,0.040209,8.869722
4/11/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.286383,24.926111
4/11/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.172348,76.123056
4/11/2021,A3A0138B,LA3A0138B2,TA3A0138B32,0.612991,24.545833
4/11/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.230564,83.931389
4/11/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.427615,89.568611
4/11/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.027251,16.009722
4/11/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.11713,14.640278
4/11/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.086023,21.367778
4/11/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.172884,39.415833
4/11/2021,A3A0138B,LA3A0138B,DA3A0138B21,0,0.741389
4/11/2021,A3A0138B,LA3A0138B,EA3A0138B21,0.107219,15.831111
4/11/2021,A3A0138B,LA3A0138B2,TA3A0138B31,1.030703,17.317778
4/11/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.231006,24.353333
4/11/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.127571,97.932222
4/11/2021,A3A0138B,LA3A0138B,DA3A0138B11,0.243112,1.258889
4/11/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.023234,20.093056
4/11/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.215414,83.455556
4/12/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.266902,35.485
4/12/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.067039,30.155556
4/12/2021,A3A0138B,LA3A0138B,DA3A0138B11,0,2.67
4/12/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.58219,98.895833
4/12/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.333069,126.849167
4/12/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.094674,79.810833
4/12/2021,A3A0138B,LA3A0138B,DA3A0138B31,0.058173,12.096667
4/12/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.370387,29.210556
4/12/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.014071,18.759444
4/12/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.367013,35.929722
4/12/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.076276,104.225556
4/12/2021,A3A0138B,LA3A0138B2,TA3A0138B32,0.454021,32.769167
4/12/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.037715,31.0975
4/12/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.204796,109.620833
4/12/2021,A3A0138B,LA3A0138B,EA3A0138B21,0.053476,23.828611
4/12/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.10357,64.652778
4/12/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.61252,61.431944
4/12/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.008221,68.423056
4/12/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.203769,178.608333
4/12/2021,A3A0138B,LA3A0138B,DA3A0138B21,10.059172,1.302778
4/12/2021,A3A0138B,LA3A0138B2,TA3A0138B31,0.829665,23.658611
4/13/2021,A3A0138B,LA3A0138B,EA3A0138B21,0.09574,23.112778
4/13/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.749407,31.781944
4/13/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.136314,98.911389
4/13/2021,A3A0138B,LA3A0138B2,TA3A0138B32,1.026931,30.518611
4/13/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.363565,26.920833
4/13/2021,A3A0138B,LA3A0138B2,TA3A0138B31,0.621828,21.311389
4/13/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.00503,17.756944
4/13/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.242104,75.806111
4/13/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.004768,51.301389
4/13/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.721632,39.41
4/13/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.172061,59.758889
4/13/2021,A3A0138B,LA3A0138B,DA3A0138B21,0.091996,2.155278
4/13/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.430338,102.798611
4/13/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.269842,144.816944
4/13/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.006083,57.890833
4/13/2021,A3A0138B,LA3A0138B,DA3A0138B31,0,9.885
4/13/2021,A3A0138B,LA3A0138B,DA3A0138B11,0.155642,2.121389
4/13/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.16119,150.463611
4/13/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.260201,36.655
4/13/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.496987,107.215278
4/13/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.058858,25.975
4/14/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.404961,106.178056
4/14/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.16014,144.622222
4/14/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.107356,47.503056
4/14/2021,A3A0138B,LA3A0138B,DA3A0138B31,2.515926,11.011667
4/14/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.054417,24.388889
4/14/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.462167,27.042222
4/14/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.021198,53.973056
4/14/2021,A3A0138B,LA3A0138B2,TA3A0138B31,0.589714,22.821667
4/14/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.323303,86.564722
4/14/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.524397,32.095
4/14/2021,A3A0138B,LA3A0138B,EA3A0138B21,0.05988,16.308056
4/14/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.038231,30.865278
4/14/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.562834,79.934167
4/14/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.174582,119.250278
4/14/2021,A3A0138B,LA3A0138B,DA3A0138B11,0,1.346667
4/14/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.083105,97.881944
4/14/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.038164,21.168889
4/14/2021,A3A0138B,LA3A0138B2,TA3A0138B32,1.06055,22.630833
4/14/2021,A3A0138B,LA3A0138B,DA3A0138B21,0.089686,1.895556
4/14/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.321189,16.349722
4/14/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.11273,60.051389
4/15/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.009355,62.7725
4/15/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.341926,69.041667
4/15/2021,A3A0138B,LA3A0138B2,TA3A0138B31,0.80543,27.764167
4/15/2021,A3A0138B,LA3A0138B,DA3A0138B21,0,4.510833
4/15/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.022477,18.061389
4/15/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.427308,20.304444
4/15/2021,A3A0138B,LA3A0138B,EA3A0138B21,0.039683,19.955278
4/15/2021,A3A0138B,LA3A0138B,DA3A0138B31,0.014263,10.751667
4/15/2021,A3A0138B,LA3A0138B2,TA3A0138B32,0.741807,25.165556
4/15/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.848718,32.892222
4/15/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.514021,70.137222
4/15/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.626469,93.751667
4/15/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.131063,139.813056
4/15/2021,A3A0138B,LA3A0138B,DA3A0138B11,0,2.383333
4/15/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.023387,94.128889
4/15/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.249097,130.323889
4/15/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.007656,62.735278
4/15/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.35117,85.233056
4/15/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.61408,41.4225
4/15/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.018123,26.569722
4/15/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.034286,38.179722
4/16/2021,A3A0138B,LA3A0138B,DA3A0138B31,0.017718,9.833333
4/16/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.095159,57.973611
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B31,0.463277,30.108333
4/16/2021,A3A0138B,LA3A0138B,DA3A0138B11,0,3.880278
4/16/2021,A3A0138B,LA3A0138B,LA3A0138B21,0.13397,88.9825
4/16/2021,A3A0138B,LA3A0138B,BA3A0138B11,0.011188,61.607222
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B32,0.505139,19.585
4/16/2021,A3A0138B,LA3A0138B,FA3A0138B11,0.322991,13.961667
4/16/2021,A3A0138B,LA3A0138B,EA3A0138B31,0.040411,67.594167
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B21,0.542303,95.2425
4/16/2021,A3A0138B,LA3A0138B,BA3A0138B21,0.200183,115.116667
4/16/2021,A3A0138B,LA3A0138B,EA3A0138B11,0.032357,28.963889
4/16/2021,A3A0138B,LA3A0138B,EA3A0138B21,1.423697,19.307222
4/16/2021,A3A0138B,LA3A0138B,BA3A0138B31,0.244748,147.329722
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.292775,29.518611
4/16/2021,A3A0138B,LA3A0138B,DA3A0138B21,0,1.455556
4/16/2021,A3A0138B,LA3A0138B,FA3A0138B21,0.233335,34.763056
4/16/2021,A3A0138B,LA3A0138B,LA3A0138B31,0.172964,63.248611
4/16/2021,A3A0138B,LA3A0138B,FA3A0138B31,0.441581,22.808333
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B22,0.484185,86.858333
4/16/2021,A3A0138B,LA3A0138B2,TA3A0138B12,0.368977,37.138611
4/17/2021,A3A0138B,LA3A0138B,LA3A0138B11,0.237488,39.241944
4/17/2021,A3A0138B,LA3A0138B2,TA3A0138B11,0.211919,24.51
4/17/2021,A3A0138B,LA3A0138B,DA3A0138B31,0.040096,6.892778
